Mod:Item:MetaData, Localized Name
Forestry:logsFireproof:18, Древесина пальмы (Огнестойкость)
Forestry:logsFireproof:19, Древесина дынного дерева (Огнестойкость)
Forestry:logsFireproof:20, Древесина сосны (Огнестойкость)
Forestry:logsFireproof:21, Древесина сливового дерева (Огнестойкость)
Forestry:logsFireproof:22, Древесина клёна (Огнестойкость)
Forestry:logsFireproof:23, Древесина цитрусового дерева (Огнестойкость)
Forestry:logsFireproof:24, Древесина гигантской секвойи (Огнестойкость)
Forestry:logsFireproof:25, Древесина муравьиного дерева (Огнестойкость)
Forestry:logsFireproof:26, Древесина падука (Огнестойкость)
Forestry:logsFireproof:27, Древесина кокоболо (Огнестойкость)
Forestry:logsFireproof:28, Древесина зебрано (Огнестойкость)
Forestry:planksFireproof:0, Доски из лиственницы (Огнестойкость)
Forestry:planksFireproof:1, Доски из тикового дерева (Огнестойкость)
Forestry:planksFireproof:2, Доски из акации (Огнестойкость)
Forestry:planksFireproof:3, Доски из липы (Огнестойкость)
Forestry:planksFireproof:4, Доски из каштана (Огнестойкость)
Forestry:planksFireproof:5, Доски из дерева Венге (Огнестойкость)
Forestry:planksFireproof:6, Доски из баобаба (Огнестойкость)
Forestry:planksFireproof:7, Доски из секвойи (Огнестойкость)
Forestry:planksFireproof:8, Доски из хлопкового дерева (Огнестойкость)
Forestry:planksFireproof:9, Доски из мирта (Огнестойкость)
Forestry:planksFireproof:10, Доски из красного дерева (Огнестойкость)
Forestry:planksFireproof:11, Доски из бальзы (Огнестойкость)
Forestry:planksFireproof:12, Доски из ивы (Огнестойкость)
Forestry:planksFireproof:13, Доски из орехового дерева (Огнестойкость)
Forestry:planksFireproof:14, Доски из гринхарта (Огнестойкость)
Forestry:planksFireproof:15, Доски из вишнёвого дерева (Огнестойкость)
Forestry:planksFireproof:16, Доски из гибискуса (Огнестойкость)
Forestry:planksFireproof:17, Доски из тополя (Огнестойкость)
Forestry:planksFireproof:18, Доски из пальмы (Огнестойкость)
Forestry:planksFireproof:19, Доски из дынного дерева (Огнестойкость)
Forestry:planksFireproof:20, Доски из сосны (Огнестойкость)
Forestry:planksFireproof:21, Доски из сливового дерева (Огнестойкость)
Forestry:planksFireproof:22, Доски из клёна (Огнестойкость)
Forestry:planksFireproof:23, Доски из цитрусового дерева (Огнестойкость)
Forestry:planksFireproof:24, Доски из гигантской секвойи (Огнестойкость)
Forestry:planksFireproof:25, Доски из муравьиного дерева (Огнестойкость)
Forestry:planksFireproof:26, Доски из падука (Огнестойкость)
Forestry:planksFireproof:27, Доски из кокоболо (Огнестойкость)
Forestry:planksFireproof:28, Доски из зебрано (Огнестойкость)
Forestry:slabsFireproof:0, Плита из лиственницы (Огнестойкость)
Forestry:slabsFireproof:1, Плита из тикового дерева (Огнестойкость)
Forestry:slabsFireproof:2, Плита из акации (Огнестойкость)
Forestry:slabsFireproof:3, Плита из липы (Огнестойкость)
Forestry:slabsFireproof:4, Плита из каштана (Огнестойкость)
Forestry:slabsFireproof:5, Плита из дерева Венге (Огнестойкость)
Forestry:slabsFireproof:6, Плита из баобаба (Огнестойкость)
Forestry:slabsFireproof:7, Плита из секвойи (Огнестойкость)
Forestry:slabsFireproof:8, Плита из хлопкового дерева (Огнестойкость)
Forestry:slabsFireproof:9, Плита из мирта (Огнестойкость)
Forestry:slabsFireproof:10, Плита из красного дерева (Огнестойкость)
Forestry:slabsFireproof:11, Плита из бальзы (Огнестойкость)
Forestry:slabsFireproof:12, Плита из ивы (Огнестойкость)
Forestry:slabsFireproof:13, Плита из орехового дерева (Огнестойкость)
Forestry:slabsFireproof:14, Плита из гринхарта (Огнестойкость)
Forestry:slabsFireproof:15, Плита из вишнёвого дерева (Огнестойкость)
Forestry:slabsFireproof:16, Плита из гибискуса (Огнестойкость)
Forestry:slabsFireproof:17, Плита из тополя (Огнестойкость)
Forestry:slabsFireproof:18, Плита из пальмы (Огнестойкость)
Forestry:slabsFireproof:19, Плита из дынного дерева (Огнестойкость)
Forestry:slabsFireproof:20, Плита из сосны (Огнестойкость)
Forestry:slabsFireproof:21, Плита из сливового дерева (Огнестойкость)
Forestry:slabsFireproof:22, Плита из клёна (Огнестойкость)
Forestry:slabsFireproof:23, Плита из цитрусового дерева (Огнестойкость)
Forestry:slabsFireproof:24, Плита из гигантской секвойи (Огнестойкость)
Forestry:slabsFireproof:25, Плита из муравьиного дерева (Огнестойкость)
Forestry:slabsFireproof:26, Плита из падука (Огнестойкость)
Forestry:slabsFireproof:27, Плита из кокоболо (Огнестойкость)
Forestry:slabsFireproof:28, Плита из зебрано (Огнестойкость)
Forestry:fencesFireproof:0, Забор из лиственницы (Огнестойкость)
Forestry:fencesFireproof:1, Забор из тикового дерева (Огнестойкость)
Forestry:fencesFireproof:2, Забор из акации (Огнестойкость)
Forestry:fencesFireproof:3, Забор из липы (Огнестойкость)
Forestry:fencesFireproof:4, Забор из каштана (Огнестойкость)
Forestry:fencesFireproof:5, Забор из дерева Венге (Огнестойкость)
Forestry:fencesFireproof:6, Забор из баобаба (Огнестойкость)
Forestry:fencesFireproof:7, Забор из секвойи (Огнестойкость)
Forestry:fencesFireproof:8, Забор из хлопкового дерева (Огнестойкость)
Forestry:fencesFireproof:9, Забор из мирта (Огнестойкость)
Forestry:fencesFireproof:10, Забор из красного дерева (Огнестойкость)
Forestry:fencesFireproof:11, Забор из бальзы (Огнестойкость)
Forestry:fencesFireproof:12, Забор из ивы (Огнестойкость)
Forestry:fencesFireproof:13, Забор из орехового дерева (Огнестойкость)
Forestry:fencesFireproof:14, Забор из гринхарта (Огнестойкость)
Forestry:fencesFireproof:15, Забор из вишнёвого дерева (Огнестойкость)
Forestry:fencesFireproof:16, Забор из гибискуса (Огнестойкость)
Forestry:fencesFireproof:17, Забор из тополя (Огнестойкость)
Forestry:fencesFireproof:18, Забор из пальмы (Огнестойкость)
Forestry:fencesFireproof:19, Забор из дынного дерева (Огнестойкость)
Forestry:fencesFireproof:20, Забор из сосны (Огнестойкость)
Forestry:fencesFireproof:21, Забор из сливового дерева (Огнестойкость)
Forestry:fencesFireproof:22, Забор из клёна (Огнестойкость)
Forestry:fencesFireproof:23, Забор из цитрусового дерева (Огнестойкость)
Forestry:fencesFireproof:24, Забор из гигантской секвойи (Огнестойкость)
Forestry:fencesFireproof:25, Забор из муравьиного дерева (Огнестойкость)
Forestry:fencesFireproof:26, Забор из падука (Огнестойкость)
Forestry:fencesFireproof:27, Забор из кокоболо (Огнестойкость)
Forestry:fencesFireproof:28, Забор из зебрано (Огнестойкость)
Forestry:stairsFireproof:0, Ступеньки из лиственницы (Огнестойкость)
Forestry:stairsFireproof:1, Ступеньки из тикового дерева (Огнестойкость)
Forestry:stairsFireproof:2, Ступеньки из акации (Огнестойкость)
Forestry:stairsFireproof:3, Ступеньки из липы (Огнестойкость)
Forestry:stairsFireproof:4, Ступеньки из каштана (Огнестойкость)
Forestry:stairsFireproof:5, Ступеньки из дерева Венге (Огнестойкость)
Forestry:stairsFireproof:6, Ступеньки из баобаба (Огнестойкость)
Forestry:stairsFireproof:7, Ступеньки из секвойи (Огнестойкость)
Forestry:stairsFireproof:8, Ступеньки из хлопкового дерева (Огнестойкость)
Forestry:stairsFireproof:9, Ступеньки из мирта (Огнестойкость)
Forestry:stairsFireproof:10, Ступеньки из красного дерева (Огнестойкость)
Forestry:stairsFireproof:11, Ступеньки из бальзы (Огнестойкость)
Forestry:stairsFireproof:12, Ступеньки из ивы (Огнестойкость)
Forestry:stairsFireproof:13, Ступеньки из орехового дерева (Огнестойкость)
Forestry:stairsFireproof:14, Ступеньки из гринхарта (Огнестойкость)
Forestry:stairsFireproof:15, Ступеньки из вишнёвого дерева (Огнестойкость)
Forestry:stairsFireproof:16, Ступеньки из гибискуса (Огнестойкость)
Forestry:stairsFireproof:17, Ступеньки из тополя (Огнестойкость)
Forestry:stairsFireproof:18, Ступеньки из пальмы (Огнестойкость)
Forestry:stairsFireproof:19, Ступеньки из дынного дерева (Огнестойкость)
Forestry:stairsFireproof:20, Ступеньки из сосны (Огнестойкость)
Forestry:stairsFireproof:21, Ступеньки из сливового дерева (Огнестойкость)
Forestry:stairsFireproof:22, Ступеньки из клёна (Огнестойкость)
Forestry:stairsFireproof:23, Ступеньки из цитрусового дерева (Огнестойкость)
Forestry:stairsFireproof:24, Ступеньки из гигантской секвойи (Огнестойкость)
Forestry:stairsFireproof:25, Ступеньки из муравьиного дерева (Огнестойкость)
Forestry:stairsFireproof:26, Ступеньки из падука (Огнестойкость)
Forestry:stairsFireproof:27, Ступеньки из кокоболо (Огнестойкость)
Forestry:stairsFireproof:28, Ступеньки из зебрано (Огнестойкость)
Forestry:saplingGE:0, Саженец
Forestry:pods:0, Стручок
Forestry:arboriculture:0, Сундук лесовода
Forestry:engine:0, Электродвигатель
Forestry:engine:1, Торфяной двигатель
Forestry:engine:2, Биогазовый двигатель
Forestry:engine:3, Биогенератор
Forestry:engine:4, Заводной двигатель
Forestry:factory:0, Разливочный механизм
Forestry:factory:1, Плотник
Forestry:factory:2, Центрифуга
Forestry:factory:3, Бродильный аппарат
Forestry:factory:4, Увлажнитель
Forestry:factory:5, Соковыжималка
Forestry:factory:6, Дистиллятор
Forestry:factory:7, Вызыватель дождя
Forestry:factory2:0, Электроламповый завод
Forestry:factory2:1, Сборщик дождя
Forestry:factory2:2, Рабочий стол
Forestry:mushroom:0, Гриб
Forestry:mushroom:1, Гриб
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:0, Блок фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:2, Редуктор фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:3, Люк фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:4, Вентиль фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:ffarm:5, Блок управления фермы
Forestry:lepidopterology:0, Сундук лепидоптеролога
Forestry:mail:0, Почтовый ящик
Forestry:mail:1, Торговая станция
Forestry:mail:2, Сборщик марок
GraviSuite:BlockRelocatorPortal, tile.null.name
IronChest:BlockIronChest:0, Железный сундук
IronChest:BlockIronChest:1, Золотой сундук
IronChest:BlockIronChest:2, Алмазный сундук
IronChest:BlockIronChest:3, Медный сундук
IronChest:BlockIronChest:4, Серебряный сундук
IronChest:BlockIronChest:5, Кристальный сундук
IronChest:BlockIronChest:6, Обсидиановый сундук
IronChest:BlockIronChest:7, DirtChest 9000!
neenergistics:tile.pattern_interface, Pattern Interface
PracticalLogistics:Hammer, Forging Hammer
PracticalLogistics:Hammer_Air, Forging Hammer
PracticalLogistics:SapphireOre, Sapphire Ore
PracticalLogistics:DisplayScreen, tile.DisplayScreen.name
PracticalLogistics:DataCable, Data Cable
PracticalLogistics:MultiCable, Channelled Cable
PracticalLogistics:Node, Node
PracticalLogistics:EntityNode, Entity Node
PracticalLogistics:InfoReader, Info Reader
PracticalLogistics:InventoryReader, Inventory Reader
PracticalLogistics:FluidReader, Fluid Reader
PracticalLogistics:EnergyReader, Energy Reader
PracticalLogistics:DataReceiver, Data Receiver
PracticalLogistics:DataEmitter, Data Emitter
PracticalLogistics:RedstoneSignaller_ON, Redstone Signaller
PracticalLogistics:RedstoneSignaller_OFF, Redstone Signaller
PracticalLogistics:Clock, Clock
PracticalLogistics:DataModifier, Data Modifier
PracticalLogistics:InfoCreator, Info Creator
PracticalLogistics:ChannelSelector, Channel Selector
PracticalLogistics:TransceiverArray, Transceiver Array
PracticalLogistics:HolographicDisplay, Holographic Display
PracticalLogistics:LargeDisplayScreen, Large Display Screen
PracticalLogistics:ItemRouter, Item Router
ThermalDynamics:ThermalDynamics_0:0, Свинцовая флаксовая труба
ThermalDynamics:ThermalDynamics_0:1, Усиленная флаксовая труба
ThermalDynamics:ThermalDynamics_0:2, Красная энергетическая флаксовая труба
ThermalDynamics:ThermalDynamics_0:3, Красная энергетическая флаксовая труба (Пустая)
ThermalDynamics:ThermalDynamics_0:4, Резонирующая флаксовая труба
ThermalDynamics:ThermalDynamics_0:5, Резонирующая флаксовая труба (Пустая)
ThermalDynamics:ThermalDynamics_0:6, Криостабилизированная флаксовая труба
ThermalDynamics:ThermalDynamics_0:7, Криостабилизированная флаксовая труба (Пустая)
ThermalDynamics:ThermalDynamics_16:0, Основная жидкостная труба
ThermalDynamics:ThermalDynamics_16:1, Основная жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_16:2, Усиленная жидкостная труба
ThermalDynamics:ThermalDynamics_16:3, Усиленная жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_16:4, Покрытая флаксом жидкостная труба
ThermalDynamics:ThermalDynamics_16:5, Покрытая флаксом жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_16:6, Сверхпластичная жидкостная труба
ThermalDynamics:ThermalDynamics_16:7, Сверхпластичная жидкостная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:0, Предметная труба
ThermalDynamics:ThermalDynamics_32:1, Предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:2, Импульсная предметная труба
ThermalDynamics:ThermalDynamics_32:3, Импульсная предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:4, Искажающаяся предметная труба
ThermalDynamics:ThermalDynamics_32:5, Искажающаяся предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_32:6, Колеблющаяся предметная труба
ThermalDynamics:ThermalDynamics_32:7, Колеблющаяся предметная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_48:0, Структурная труба (Непрозрачная)
ThermalDynamics:ThermalDynamics_48:1, Светящаяся труба
ThermalDynamics:ThermalDynamics_64:0, Виадук
ThermalDynamics:ThermalDynamics_64:1, Виадук большой дальности
ThermalDynamics:ThermalDynamics_64:2, Соединяющий виадук большой дальности
ThermalDynamics:ThermalDynamics_64:3, Виадук (Необработанный)
ThermalExpansion:Machine:0, Резонирующая красная печь
ThermalExpansion:Machine:1, Резонирующий измельчитель
ThermalExpansion:Machine:2, Резонирующая лесопилка
ThermalExpansion:Machine:3, Резонирующая индукционная плавильня
ThermalExpansion:Machine:4, Резонирующий магмовый тигель
ThermalExpansion:Machine:5, Резонирующий распределитель жидкостей
ThermalExpansion:Machine:6, Резонирующий ледниковый осадитель
ThermalExpansion:Machine:7, Резонирующий вулканический пресс
ThermalExpansion:Machine:8, Резонирующий водяной накопитель
ThermalExpansion:Machine:9, Резонирующий циклический сборщик
ThermalExpansion:Machine:10, Резонирующий энергетический зарядник
ThermalExpansion:Machine:11, Резонирующий фитогенный светильник
ThermalExpansion:Device:2, Автономный активатор
ThermalExpansion:Device:3, Разрушитель территории
ThermalExpansion:Device:4, Приобретатель
ThermalExpansion:Device:5, Аннулятор
ThermalExpansion:Device:6, Распределитель предметов
ThermalExpansion:Dynamo:0, Паровой генератор
ThermalExpansion:Dynamo:1, Магмовый генератор
ThermalExpansion:Dynamo:2, Компрессионный генератор
ThermalExpansion:Dynamo:3, Реагентный генератор
ThermalExpansion:Dynamo:4, Ослабленный генератор
ThermalExpansion:Cell:0, Творческая энергетическая ячейка
ThermalExpansion:Cell:1, Свинцовая энергетическая ячейка
ThermalExpansion:Cell:1, Свинцовая энергетическая ячейка
ThermalExpansion:Cell:2, Усиленная энергетическая ячейка
ThermalExpansion:Cell:2, Усиленная энергетическая ячейка
ThermalExpansion:Cell:3, Красная энергетическая ячейка
ThermalExpansion:Cell:3, Красная энергетическая ячейка
ThermalExpansion:Cell:4, Резонирующая энергетическая ячейка
ThermalExpansion:Cell:4, Резонирующая энергетическая ячейка
ThermalExpansion:Tank:0, Творческий переносной бак
ThermalExpansion:Tank:1, Переносной бак
ThermalExpansion:Tank:2, Усиленный переносной бак
ThermalExpansion:Tank:3, Укреплённый переносной бак
ThermalExpansion:Tank:4, Резонирующий переносной бак
ThermalExpansion:Strongbox:0, Творческий сейф
ThermalExpansion:Strongbox:1, Сейф
ThermalExpansion:Strongbox:2, Усиленный сейф
ThermalExpansion:Strongbox:3, Укреплённый сейф
ThermalExpansion:Strongbox:4, Резонирующий сейф
ThermalExpansion:Cache:0, Творческий тайник
ThermalExpansion:Cache:1, Тайник
ThermalExpansion:Cache:2, Усиленный тайник
ThermalExpansion:Cache:3, Укреплённый тайник
ThermalExpansion:Cache:4, Резонирующий тайник
ThermalExpansion:Workbench:0, Творческий верстак механика
ThermalExpansion:Workbench:1, Верстак механика
ThermalExpansion:Workbench:2, Усиленный верстак механика
ThermalExpansion:Workbench:3, Укреплённый верстак механика
ThermalExpansion:Workbench:4, Резонирующий верстак механика
ThermalExpansion:Tesseract:0, Тессеракт
ThermalExpansion:Plate:0, Рамка пластины
ThermalExpansion:Plate:1, Красная пластина
ThermalExpansion:Plate:2, Импульсная пластина
ThermalExpansion:Plate:3, Транслокационная пластина
ThermalExpansion:Plate:4, Заряжающая пластина
ThermalExpansion:Plate:5, Excursion Plate
ThermalExpansion:Plate:6, Телепортирующая пластина
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:0, Светильник из светящегося камня
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:1, Сияющий ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Light:2, Ламиумовый светильник
ThermalExpansion:Frame:0, Рамка механизма (Основная)
ThermalExpansion:Frame:1, Рамка механизма (Усиленная)
ThermalExpansion:Frame:2, Рамка механизма (Укреплённая)
ThermalExpansion:Frame:3, Рамка механизма (Резонирующая)
ThermalExpansion:Frame:4, Рамка свинцовой энергетической ячейки
ThermalExpansion:Frame:5, Рамка усиленной энергетической ячейки
ThermalExpansion:Frame:6, Рамка красной энергетической ячейки (Пустая)
ThermalExpansion:Frame:7, Рамка красной энергетической ячейки (Полная)
ThermalExpansion:Frame:8, Рамка резонирующей энергетической ячейки (Пустая)
ThermalExpansion:Frame:9, Рамка резонирующей энергетической ячейки (Полная)
ThermalExpansion:Frame:10, Рамка тессеракта (Пустая)
ThermalExpansion:Frame:11, Рамка тессеракта (Полная)
ThermalExpansion:Frame:12, Рамка светильника
ThermalExpansion:Glass:0, Закалённое стекло
ThermalExpansion:Glass:1, Закалённое ламиумовое стекло
ThermalExpansion:Rockwool:0, Белая минеральная шерсть
ThermalExpansion:Rockwool:1, Оранжевая минеральная шерсть
ThermalExpansion:Rockwool:2, Сиреневая минеральная шерсть
ThermalExpansion:Rockwool:3, Светло-синяя минеральная шерсть
ThermalExpansion:Rockwool:4, Жёлтая минеральная шерсть
ThermalExpansion:Rockwool:5, Лаймовая минеральная шерсть
ThermalExpansion:Rockwool:6, Розовая минеральная шерсть
ThermalExpansion:Rockwool:7, Серая минеральная шерсть
ThermalExpansion:Rockwool:8, Светло-серая минеральная шерсть
ThermalExpansion:Rockwool:9, Бирюзовая минеральная шерсть
ThermalExpansion:Rockwool:10, Фиолетовая минеральная шерсть
ThermalExpansion:Rockwool:11, Синяя минеральная шерсть
ThermalExpansion:Rockwool:12, Коричневая минеральная шерсть
ThermalExpansion:Rockwool:13, Зелёная минеральная шерсть
ThermalExpansion:Rockwool:14, Красная минеральная шерсть
ThermalExpansion:Rockwool:15, Чёрная минеральная шерсть
ThermalExpansion:Sponge:0, Сухая творческая губка
ThermalExpansion:Sponge:1, Сухая простая губка
ThermalExpansion:Sponge:2, Сухая магматическая губка
minecraft:record_13, Пластинка
minecraft:record_cat, Пластинка
minecraft:record_blocks, Пластинка
minecraft:record_chirp, Пластинка
minecraft:record_far, Пластинка
minecraft:record_mall, Пластинка
minecraft:record_mellohi, Пластинка
minecraft:record_stal, Пластинка
minecraft:record_strad, Пластинка
minecraft:record_ward, Пластинка
minecraft:record_11, Пластинка
minecraft:record_wait, Пластинка
IC2:itemHarz, ic2.itemHarz.name
IC2:itemRubber, ic2.itemRubber.name
IC2:itemFluidCell, ic2.itemFluidCell.name
IC2:itemupgradekit:0, ic2.itemMFSUupgradekit
IC2:itemRecipePart:0, ic2.itemPartCoil
IC2:itemRecipePart:1, ic2.itemPartEleMotor
IC2:itemRecipePart:2, ic2.itempowerunit
IC2:itemRecipePart:3, ic2.itempowerunitsmall
IC2:itemRecipePart:4, ic2.itemrawcrystalmemory
IC2:itemRecipePart:5, ic2.itemheatconductor
IC2:itemRecipePart:6, ic2.itemcopperboiler
IC2:itemRecipePart:7, ic2.itemwoodrotorblade
IC2:itemRecipePart:8, ic2.itemironrotorblade
IC2:itemRecipePart:9, ic2.itemcarbonrotorblade
IC2:itemRecipePart:10, ic2.itemsteelrotorblade
IC2:itemRecipePart:11, ic2.itemironshaft
IC2:itemRecipePart:12, ic2.itemsteelshaft
IC2:itemCasing:0, ic2.itemCasingCopper
IC2:itemCasing:1, ic2.itemCasingTin
IC2:itemCasing:2, ic2.itemCasingBronze
IC2:itemCasing:3, ic2.itemCasingGold
IC2:itemCasing:4, ic2.itemCasingIron
IC2:itemCasing:5, ic2.itemCasingAdvIron
IC2:itemCasing:6, ic2.itemCasingLead
IC2:itemCrushedOre:0, ic2.itemCrushedIronOre
IC2:itemCrushedOre:1, ic2.itemCrushedCopperOre
IC2:itemCrushedOre:2, ic2.itemCrushedGoldOre
IC2:itemCrushedOre:3, ic2.itemCrushedTinOre
IC2:itemCrushedOre:4, ic2.itemCrushedUranOre
IC2:itemCrushedOre:5, ic2.itemCrushedSilverOre
IC2:itemCrushedOre:6, ic2.itemCrushedLeadOre
IC2:itemPurifiedCrushedOre:0, ic2.itemPurifiedCrushedIronOre
IC2:itemPurifiedCrushedOre:1, ic2.itemPurifiedCrushedCopperOre
IC2:itemPurifiedCrushedOre:2, ic2.itemPurifiedCrushedGoldOre
IC2:itemPurifiedCrushedOre:3, ic2.itemPurifiedCrushedTinOre
IC2:itemPurifiedCrushedOre:4, ic2.itemPurifiedCrushedUranOre
IC2:itemPurifiedCrushedOre:5, ic2.itemPurifiedCrushedSilverOre
IC2:itemPurifiedCrushedOre:6, ic2.itemPurifiedCrushedLeadOre
IC2:itemPlates:0, ic2.itemPlateCopper
IC2:itemPlates:1, ic2.itemPlateTin
IC2:itemPlates:2, ic2.itemPlateBronze
IC2:itemPlates:3, ic2.itemPlateGold
IC2:itemPlates:4, ic2.itemPlateIron
IC2:itemPlates:5, ic2.itemPlateAdvIron
IC2:itemPlates:6, ic2.itemPlateLead
IC2:itemPlates:7, ic2.itemPlateObsidian
IC2:itemPlates:8, ic2.itemPlateLapi
IC2:itemDensePlates:0, ic2.itemDensePlateCopper
IC2:itemDensePlates:1, ic2.itemDensePlateTin
IC2:itemDensePlates:2, ic2.itemDensePlateBronze
IC2:itemDensePlates:3, ic2.itemDensePlateGold
IC2:itemDensePlates:4, ic2.itemDensePlateIron
IC2:itemDensePlates:5, ic2.itemDensePlateAdvIron
IC2:itemDensePlates:6, ic2.itemDensePlateLead
IC2:itemDensePlates:7, ic2.itemDensePlateObsidian
IC2:itemDensePlates:8, ic2.itemDensePlateLapi
IC2:itemTurningBlanks:349525, ic2.itemTurningBlanksIRON
IC2:itemTurningBlanksWood:209715, ic2.itemTurningBlanksWOOD
IC2:itemDustSmall:0, ic2.itemDustIronSmall
IC2:itemDustSmall:1, ic2.itemDustCopperSmall
IC2:itemDustSmall:2, ic2.itemDustGoldSmall
IC2:itemDustSmall:3, ic2.itemDustTinSmall
IC2:itemDustSmall:4, ic2.itemDustSilverSmall
IC2:itemDustSmall:5, ic2.itemDustLeadSmall
IC2:itemDustSmall:6, ic2.itemDustSulfurSmall
IC2:itemDustSmall:7, ic2.itemDustLithiumSmall
IC2:itemDustSmall:8, ic2.itemDustBronzeSmall
IC2:itemDustSmall:9, ic2.itemDustLapiSmall
IC2:itemDustSmall:10, ic2.itemDustObsidianSmall
IC2:itemDust:0, ic2.itemDustBronze
IC2:itemDust:1, ic2.itemDustClay
IC2:itemDust:2, ic2.itemDustCoal
IC2:itemDust:3, ic2.itemDustCopper
IC2:itemDust:4, ic2.itemDustGold
IC2:itemDust:5, ic2.itemDustIron
IC2:itemDust:6, ic2.itemDustSilver
IC2:itemDust:7, ic2.itemDustTin
IC2:itemDust:8, ic2.itemFuelCoalDust
IC2:itemDust:9, ic2.itemDustStone
IC2:itemDust:10, ic2.itemDustLead
IC2:itemDust:11, ic2.itemDustObsidian
IC2:itemDust:12, ic2.itemDustLapi
IC2:itemDust:13, ic2.itemDustSulfur
IC2:itemDust:14, ic2.itemDustLithium
IC2:itemDust2:0, ic2.itemDustsilicondioxide
IC2:itemDust2:1, ic2.itemDustdiamond
IC2:itemDust2:2, ic2.itemDustenergium
IC2:itemDust2:3, ic2.itemAshes
IC2:itemIngot:0, ic2.itemIngotCopper
IC2:itemIngot:1, ic2.itemIngotTin
IC2:itemIngot:2, ic2.itemIngotBronze
IC2:itemIngot:3, ic2.itemIngotAdvIron
IC2:itemIngot:4, ic2.itemIngotAlloy
